0,255,639,-100,0,41,306,0
0,21,2447,100,81,24,709,0
0,20,2347,100,101,31,721,-1
0,26,458,-100,0,24,334,0
0,243,2702,-100,203,182,251,-1
202,15,438,100,0,18,494,0
149,37,2670,100,111,61,408,-1
0,226,429,-100,108,24,339,-1
0,283,214,-100,85,35,588,-1
186,31,2544,100,111,49,429,-1
0,19,620,100,0,15,687,0
0,36,2702,100,127,54,705,-1
0,17,478,100,0,15,690,0
199,20,2634,100,110,31,427,-1
0,255,616,-100,0,27,333,0
0,41,2297,100,68,46,699,0
152,255,2417,-100,0,159,2247,-1
0,250,2702,-100,108,223,799,-1
165,27,2612,100,88,24,285,0
198,12,446,100,0,14,497,0
0,255,251,-100,4,44,693,0
151,14,2488,100,101,190,691,-1
0,191,2516,-100,116,143,464,-1
0,275,255,-100,29,31,655,-1
0,228,2692,-100,0,167,719,0
195,15,442,100,0,12,494,0
139,13,2599,100,84,17,286,0
0,255,2691,-100,0,155,420,0
154,15,2539,100,101,184,831,-1
159,255,2690,-100,0,201,2150,0
0,45,2691,-100,0,176,706,0
0,48,2700,-100,0,154,254,0
156,15,2704,100,117,38,408,-1
172,251,2700,-100,86,213,2321,-1
0,255,2687,-100,17,200,392,-1
0,15,623,100,0,31,304,-1
199,21,2622,100,103,26,427,-1
134,22,639,100,0,18,727,0
0,253,478,-100,0,26,723,0
0,37,2691,-100,0,166,702,0
0,27,2651,100,85,21,706,0
124,23,639,100,0,30,728,-1
0,86,2687,-100,120,246,741,-2
0,252,2691,-100,287,172,255,0
0,15,2518,100,95,37,712,-1
0,280,2668,-100,42,184,391,-1
0,216,2701,-100,112,214,792,-1
156,12,2660,100,75,19,338,1
178,43,460,100,0,182,425,-1
0,255,2679,-100,0,147,358,-1
0,28,459,-100,0,23,335,0
168,30,475,100,0,62,496,0
166,17,625,100,0,53,462,0
0,247,391,-100,102,25,683,-1
0,273,626,-100,0,43,281,0
149,11,2583,100,81,30,389,0
0,29,2702,-100,0,140,319,0
0,21,2600,-100,9,147,554,-1
0,249,406,-100,0,21,723,0
0,39,2700,-100,0,159,703,0
0,15,2702,100,96,11,689,0
178,14,2694,100,119,95,1001,-1
211,22,456,100,0,122,408,-1
0,236,2690,-100,0,90,736,0
0,231,2697,-100,77,177,704,-1
158,11,605,100,0,113,440,-1
0,293,2668,-100,90,241,389,-1
143,20,2702,100,94,17,372,0
167,17,622,100,0,109,425,-1
0,228,2693,-100,21,159,705,0
0,81,2692,-100,0,231,303,-1
0,255,2699,-100,207,206,303,-1
181,22,651,100,0,114,425,-1
0,26,2424,100,73,31,706,0
0,22,2707,100,142,76,407,-1
159,302,2691,-100,0,197,2317,0
0,17,2689,100,92,12,711,0
0,26,2645,-100,77,163,381,-1
0,53,2700,-100,58,190,423,-1
172,234,2417,-100,0,156,1250,0
0,255,2660,-100,0,184,388,0
0,214,2503,-100,14,145,463,-1
158,22,2493,100,63,18,587,1
169,21,623,100,0,169,498,-1
0,23,460,100,0,23,718,0
0,39,2680,100,99,30,553,0
0,276,2691,-100,0,141,391,0
0,255,621,-100,0,31,255,0
0,17,459,100,0,23,530,0
156,15,2541,100,79,13,480,0
0,282,212,-100,93,58,605,-1
0,119,2687,-100,123,254,760,-2
159,15,2493,100,84,15,505,0
170,27,622,100,0,147,452,-1
180,180,25,100,0,31,540,0
0,27,458,-100,0,24,232,1
0,236,356,-100,2,63,356,1
0,24,2699,100,141,184,421,-1
0,31,2692,100,121,61,722,-1
127,15,615,100,0,31,728,-1
